key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ground_truth,image,category,distance_x,distance_y,participant,session,date,expName,psychopyVersion,frameRate,fbclid
w,2.123,n,1.302,space,2.397,w,0.812,1,0,48,0,1,47,sword,w,blank.png,high_none,0.22,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,w,0.689,1,0,48,1,1,47,tea,w,blank.png,low_none,0.22,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,n,0.87,1,0,48,2,1,47,jears,n,EmjAp68.png,nonse_high,0.2,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,w,0.884,1,0,48,3,1,47,title,w,EmjAp22.png,low_med,0.17,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,w,0.739,1,0,48,4,1,47,dust,w,EmjAp22.png,med_med,205,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,n,1.089,1,0,48,5,1,47,meel,n,EmjAp34.png,nonse_low,0.2,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,n,0.97,1,0,48,6,1,47,phomy,n,blank.png,nonse_none,0.22,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,n,0.922,1,0,48,7,1,47,fible,n,EmjAp22.png,nonse_med,0.185,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,w,0.854,1,0,48,8,1,47,grain,w,EmjAp68.png,low_high,0.2,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,n,0.855,1,0,48,9,1,47,amose,n,blank.png,nonse_none,0.22,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,w,0.837,1,0,48,10,1,47,shock,w,EmjAp68.png,high_high,0.215,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,n,1.158,1,0,48,11,1,47,lates,n,EmjAp68.png,nonse_high,0.195,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
,,,,,,w,0.74,1,0,48,12,1,47,flame,w,EmjAp22.png,high_med,0.213,0,,001,2019-05-29_19h27.17.428,word_arousal,3.1.2,60,IwAR2SAlMCy8RSLbhTvnkg97e-r1-ECTzjpjRqBT7TFGUgiWFmdUWxDIdVL24
